"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08000832",-3.17343436535402,5.6392930337816,128.855000494788,1.0181089485771e-09,5.44930694381265e-08,"BraA08000832","BraA08000832","AT1G32550","FdC2","2Fe-2S ferredoxin-like superfamily protein","-","-"
"BraA01000954",-6.04133988299304,6.33699125141633,127.967085601547,1.07648347961961e-09,5.59060859250632e-08,"BraA01000954","BraA01000954","AT4G28660","PSB28","photosystem II reaction center PSB28 protein","-","-"
"BraA01000258",-5.66407080668884,6.67173592627865,126.973232778996,1.14626676805154e-09,5.89465812485592e-08,"BraA01000258","BraA01000258","AT4G36220","FAH1","ferulic acid 5-hydroxylase 1","-","YES"
"BraA09003092",-3.21868909555864,8.01313005853179,126.848362988728,1.15538387708359e-09,5.92218914976789e-08,"BraA09003092","BraA09003092","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA03002964",-3.26731060764005,6.04002207676619,126.744036363576,1.16306277487715e-09,5.9229630503129e-08,"BraA03002964","BraA03002964","AT4G04020","FIB","fibrillin","-","YES"
"BraA07002006",-5.65351696923967,8.26458969381336,126.298347664649,1.1965111559759e-09,5.99627374217733e-08,"BraA07002006","BraA07002006","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA01001771",-3.94443513087021,4.38366737645228,126.099698462193,1.21176222890831e-09,6.05342553463529e-08,"BraA01001771","BraA01001771","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA01004729",-3.55347286218802,2.98644136097691,125.672662169161,1.24528296905615e-09,6.20119392438845e-08,"BraA01004729","BraA01004729","AT3G02570","MEE31","Mannose-6-phosphate isomerase, type I","-","-"
"BraA09001039",-3.91369291561165,11.3623951719875,125.61394626183,1.24997186376553e-09,6.20490764927898e-08,"BraA09001039","BraA09001039","AT5G66190","FNR1","ferredoxin-NADP[ ]-oxidoreductase 1","-","YES"
"BraA02002897",-3.70199385506528,6.5269366042524,124.907375255842,1.30795968387921e-09,6.39194210730534e-08,"BraA02002897","BraA02002897","AT4G01150","AT4G01150","CURVATURE THYLAKOID 1A-like protein","-","-"
"BraA03001813",-4.00067565284622,5.45389479027049,123.990390798004,1.38771361609484e-09,6.69848511130933e-08,"BraA03001813","BraA03001813","AT2G32640","AT2G32640","Lycopene beta/epsilon cyclase protein","-","-"
"BraA03004049",-4.50601316643815,6.98901306663253,123.460876425024,1.43621580767771e-09,6.86938965033936e-08,"BraA03004049","BraA03004049","AT3G17390","MTO3","S-adenosylmethionine synthetase family protein","-","-"
"BraA03004059",-6.9426676940297,3.86095096076661,123.304195962688,1.45092572178068e-09,6.90317968530197e-08,"BraA03004059","BraA03004059","AT3G17609","HYH","HY5-homolog","YES","-"
"BraA06003049",-4.81216059261225,4.35825882392443,122.633280384755,1.51583296787485e-09,7.03461133190965e-08,"BraA06003049","BraA06003049","AT5G62720","AT5G62720","Integral membrane HPP family protein","-","-"
"BraA02001049",-4.95457402927294,5.71497460865344,122.364851137693,1.54269887526066e-09,7.11551143665569e-08,"BraA02001049","BraA02001049","AT5G22300","NIT4","nitrilase 4","-","-"
"BraA09001262",-3.57806635954851,5.91118886202332,122.304793536655,1.54878183229583e-09,7.11551143665569e-08,"BraA09001262","BraA09001262","AT4G29840","MTO2","Pyridoxal-5'-phosphate-dependent enzyme family protein","-","-"
"BraA03003901",-3.10572082828005,8.56755135920914,122.28316582326,1.55097891635289e-09,7.11551143665569e-08,"BraA03003901","BraA03003901","AT3G14415","GOX2","Aldolase-type TIM barrel family protein","-","-"
"BraA03005826",-3.02763527049988,6.69380401854181,121.696587686752,1.61190627081999e-09,7.30315061135334e-08,"BraA03005826","BraA03005826","AT4G28640","IAA11","indole-3-acetic acid inducible 11","-","YES"
"BraA09000035",-4.30090450308466,6.29819257592393,121.6098555244,1.62113833612047e-09,7.30952230865093e-08,"BraA09000035","BraA09000035","AT4G00360","CYP86A2","cytochrome P450, family 86, subfamily A, polypeptide 2","-","-"
"BraA08003665",-3.63595004392291,4.2201642541767,121.304056198735,1.65415973707054e-09,7.37389734349631e-08,"BraA08003665","BraA08003665","AT1G10060","BCAT-1","branched-chain amino acid transaminase 1","-","-"
"BraA07001149",-6.15996666094335,3.80191070106859,120.675833703316,1.72436459908193e-09,7.62207902560486e-08,"BraA07001149","BraA07001149","AT4G27830","BGLU10","beta glucosidase 10","-","-"
"BraA09000082",-3.02438193222182,10.0449062488185,120.298378516489,1.76813203585698e-09,7.7393465865484e-08,"BraA09000082","BraA09000082","AT4G01150","AT4G01150","CURVATURE THYLAKOID 1A-like protein","-","-"
"BraA01002010",-7.20714493139603,3.27879695771529,120.294374610951,1.76860286220224e-09,7.7393465865484e-08,"BraA01002010","BraA01002010","AT1G56430","NAS4","nicotianamine synthase 4","-","-"
"BraA04000488",-3.46938776358874,8.05308904357683,120.150384073663,1.78562776265251e-09,7.76205482682317e-08,"BraA04000488","BraA04000488","AT3G55330","PPL1","PsbP-like protein 1","-","-"
"BraA07000905",4.55095585575384,6.66006162335347,120.035586262673,1.79933131922927e-09,7.7786477031296e-08,"BraA07000905","BraA07000905","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-"
"BraA05004187",-3.00046563849266,6.99138515855502,119.72012377355,1.83759308911074e-09,7.90064613394715e-08,"BraA05004187","BraA05004187","AT3G08740","AT3G08740","elongation factor P (EF-P) family protein","-","-"
"BraA09004320",-7.60511850853987,4.01482041705531,118.954279446284,1.9342918165163e-09,8.22649081748661e-08,"BraA09004320","BraA09004320","AT1G22690","AT1G22690","Gibberellin-regulated family protein","-","YES"
"BraA08000492",-5.80050158404724,3.59925560524862,118.023568497998,2.05948525990326e-09,8.54889901555151e-08,"BraA08000492","BraA08000492","AT1G47580","DYW1","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraSca000048",-6.28772149697694,9.82698117774886,117.951967660477,2.069482727324e-09,8.54889901555151e-08,"BraSca000048","BraSca000048","AT1G62180","42462","5'adenylylphosphosulfate reductase 2","-","-"
"BraA04000537",-4.09507390852245,3.82344471310718,117.947212307677,2.07014861095714e-09,8.54889901555151e-08,"BraA04000537","BraA04000537","AT3G54750","AT3G54750","downstream neighbor of Son","-","-"
"BraA06003957",-3.39086192078077,7.39319943985227,117.766764619617,2.09559288323677e-09,8.58756500276403e-08,"BraA06003957","BraA06003957","AT5G49030","OVA2","tRNA synthetase class I (I, L, M and V) family protein","-","-"
"BraA02002405",-4.99426225182793,7.3505657202322,117.571993001685,2.12344695931983e-09,8.65662211188002e-08,"BraA02002405","BraA02002405","AT1G74070","AT1G74070","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA01001067",-3.40467952247839,9.6682141551036,117.522297783531,2.13061941878761e-09,8.66341787442942e-08,"BraA01001067","BraA01001067","AT4G18480","CHLI1","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA02002262",3.05092572413379,8.47498819518262,117.039806916071,2.20167148691702e-09,8.8607423320016e-08,"BraA02002262","BraA02002262","AT1G72150","PATL1","PATELLIN 1","-","-"
"BraA02000812",-3.92508268905456,3.94512143416426,116.582748274627,2.27141003133163e-09,9.07180412513565e-08,"BraA02000812","BraA02000812","AT5G17990","TRP1","tryptophan biosynthesis 1","-","-"
"BraA08000536",-6.49032112457243,6.08787338858804,116.225952223448,2.32755476918706e-09,9.24909137573928e-08,"BraA08000536","BraA08000536","AT1G45474","Lhca5","photosystem I light harvesting complex protein 5","-","-"
"BraA10001563",-3.01142368351628,5.86219615288847,116.110263002175,2.34608861011367e-09,9.29925701983595e-08,"BraA10001563","BraA10001563","AT5G60540","PDX2","pyridoxine biosynthesis 2","-","YES"
"BraA01000519",6.03544086423315,8.25646460812603,115.809697518964,2.39501021253787e-09,9.45416076652254e-08,"BraA01000519","BraA01000519","AT4G33150","AT4G33150","lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme","-","-"
"BraA08003979",-5.74172775303849,3.54085128564974,115.796495183426,2.39718489186737e-09,9.45416076652254e-08,"BraA08003979","BraA08003979","AT1G03600","PSB27","photosystem II family protein","-","-"
"BraA04003031",-3.09112636631244,8.70354031114938,115.628663944129,2.4250217137142e-09,9.49257255895689e-08,"BraA04003031","BraA04003031","AT2G42220","AT2G42220","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA03004200",-5.6565668863058,7.22375312862832,115.365236587777,2.46944036197679e-09,9.61605856766662e-08,"BraA03004200","BraA03004200","AT3G20390","AT3G20390","endoribonuclease L-PSP family protein","-","-"
"BraA03003808",-4.89221893685978,9.49197802056714,115.330474858938,2.47536893881506e-09,9.61605856766662e-08,"BraA03003808","BraA03003808","AT3G12780","PGK1","phosphoglycerate kinase 1","-","-"
"BraA03003722",-4.65820602037283,6.27051941750647,113.823301166113,2.74825333332466e-09,1.04888074254872e-07,"BraA03003722","BraA03003722","AT3G11170","FAD7","fatty acid desaturase 7","-","-"
"BraA07004156",-3.20920339968608,5.2033116927864,112.652124840446,2.9833972951858e-09,1.1231277472977e-07,"BraA07004156","BraA07004156","AT1G80600","WIN1","HOPW1-1-interacting 1","-","YES"
"BraA07003217",-4.63002521739233,9.24201045604871,112.539044014716,3.00725771848902e-09,1.12940829255712e-07,"BraA07003217","BraA07003217","AT1G68590","PSRP3/1","Ribosomal protein PSRP-3/Ycf65","-","-"
"BraA03005093",3.83119983690263,5.03579278654403,112.118656075204,3.09783558525638e-09,1.14333481041177e-07,"BraA03005093","BraA03005093","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA02004127",-4.2536217723308,3.01164880229758,111.840039275368,3.15953346614039e-09,1.14848829581433e-07,"BraA02004127","BraA02004127","AT4G11900","AT4G11900","S-locus lectin protein kinase family protein","-","-"
"BraA02002954",-6.09605083923486,4.24646076063314,111.822011006701,3.16357241836705e-09,1.14848829581433e-07,"BraA02002954","BraA02002954","AT4G00165","AT4G00165","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA01004546",-3.37650364694223,4.4528179963804,111.69344164781,3.19254301896279e-09,1.14974421516122e-07,"BraA01004546","BraA01004546","AT3G06350","MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase","-","-"
"BraA05000025",-4.75732610522203,6.57168476974171,111.672036758444,3.19739471402646e-09,1.14974421516122e-07,"BraA05000025","BraA05000025","AT3G04790","EMB3119","Ribose 5-phosphate isomerase, type A protein","-","YES"
"BraA01000740",-4.33646797720326,5.57573540245421,111.659550953591,3.20022856024794e-09,1.14974421516122e-07,"BraA01000740","BraA01000740","AT4G30950","FAD6","fatty acid desaturase 6","-","-"
"BraA09002255",-7.44747934044706,7.27656842628239,111.592189438944,3.21556544604432e-09,1.15262273027229e-07,"BraA09002255","BraA09002255","AT5G45680","FKBP13","FK506-binding protein 13","-","YES"
"BraA10001411",-4.87414274928635,5.53601637577631,111.51010257192,3.23436533947442e-09,1.15672665868113e-07,"BraA10001411","BraA10001411","AT5G58770","cPT4","Undecaprenyl pyrophosphate synthetase family protein","-","-"
"BraA08003167",3.10563452575283,3.11541605640267,111.1548232639,3.31715106607298e-09,1.17829998139333e-07,"BraA08003167","BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA01004338",-3.14451148702905,9.25857211883676,110.96123766852,3.36324713883182e-09,1.18930465116084e-07,"BraA01004338","BraA01004338","AT5G04590","SIR","sulfite reductase","-","-"
"BraA09000881",3.58725232936196,3.24843424611339,110.438485088636,3.49131390348331e-09,1.21816664268766e-07,"BraA09000881","BraA09000881","AT5G64530","XND1","xylem NAC domain 1","YES","-"
"BraA09000816",-4.25482174764741,3.54643269203177,110.218880553729,3.54671996370598e-09,1.22932126319113e-07,"BraA09000816","BraA09000816","AT5G63060","AT5G63060","Sec14p-like phosphatidylinositol transfer family protein","-","-"
"BraA08003664",9.87606682418092,6.33361439650268,110.005646926964,3.60145355462097e-09,1.2303150643189e-07,"BraA08003664","BraA08003664","AT1G10070","BCAT-2","branched-chain amino acid transaminase 2","-","-"
"BraA09005308",3.03540488508972,6.7736263137113,109.958293698896,3.61373511003664e-09,1.2303150643189e-07,"BraA09005308","BraA09005308","AT3G60190","DL1E","DYNAMIN-like 1E","-","-"
"BraA07002264",-3.17691536151057,5.84399255542297,109.934386073225,3.61995344928605e-09,1.2303150643189e-07,"BraA07002264","BraA07002264","AT3G61080","AT3G61080","Protein kinase superfamily protein","-","-"
"BraA03000536",3.14264753759284,4.02978873907302,109.528389187265,3.72738596942677e-09,1.26137947558924e-07,"BraA03000536","BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA05003365",-5.44398668315078,5.44702312887657,107.677924068379,4.26398447386609e-09,1.39207592698666e-07,"BraA05003365","BraA05003365","AT3G18000","XPL1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA09003620",-3.14821618226193,6.13294896762405,107.477076797884,4.32720564001483e-09,1.40979105489179e-07,"BraA09003620","BraA09003620","AT1G31190","IMPL1","myo-inositol monophosphatase like 1","-","-"
"BraA10002346",-4.71827809067678,7.82628517809485,107.326685410916,4.37522565429678e-09,1.42249072099203e-07,"BraA10002346","BraA10002346","AT5G12860","DiT1","dicarboxylate transporter 1","-","-"
"BraA10000146",-8.0586809659006,5.97850604437771,107.270797052319,4.39322125629503e-09,1.4253964884342e-07,"BraA10000146","BraA10000146","AT1G02820","LEA3","Late embryogenesis abundant 3 (LEA3) family protein","-","-"
"BraA01000075",-3.9123622780787,6.46896426477488,107.231133142336,4.40604253411308e-09,1.42661492421406e-07,"BraA01000075","BraA01000075","AT4G39710","PnsL4","FK506-binding protein 16-2","-","-"
"BraA09004900",-4.0014819103614,3.40918696490028,107.179095311778,4.42292665900202e-09,1.42712883649892e-07,"BraA09004900","BraA09004900","AT3G55350","AT3G55350","PIF / Ping-Pong family of plant transposase","-","-"
"BraA09003557",-4.70101715496517,5.02124380663358,106.593362282914,4.61800616485774e-09,1.48144696531086e-07,"BraA09003557","BraA09003557","AT1G56050","AT1G56050","GTP-binding protein-like protein","-","-"
"BraA07001383",-4.47990248965265,3.54046336877545,106.370706239816,4.6946507776649e-09,1.50152489100274e-07,"BraA07001383","BraA07001383","AT1G23310","GGT1","glutamate:glyoxylate aminotransferase","-","-"
"BraA01001633",-3.21462671943606,3.92671323838054,106.054037797265,4.80609942773129e-09,1.52785415342989e-07,"BraA01001633","BraA01001633","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA09005761",-3.71348324240157,4.59263970967692,105.987308701018,4.82995671677318e-09,1.53234271966014e-07,"BraA09005761","BraA09005761","AT2G47130","SDR3","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA05004631",-3.91066618919183,4.26169254656954,105.658504174863,4.94944747575217e-09,1.56394589314129e-07,"BraA05004631","BraA05004631","AT3G02570","MEE31","Mannose-6-phosphate isomerase, type I","-","-"
"BraA07003560",-3.88317838755065,6.10165085156027,105.53917385408,4.993621423241e-09,1.57159253432241e-07,"BraA07003560","BraA07003560","AT1G72640","AT1G72640","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA02002760",3.82712667820653,5.81980566347679,105.44666400228,5.02816794786656e-09,1.57453702127166e-07,"BraA02002760","BraA02002760","AT1G79590","SYP52","syntaxin of plants 52","-","-"
"BraA03004902",-3.00190103835376,6.52384546308691,105.163893105502,5.13541955156499e-09,1.60021707056291e-07,"BraA03004902","BraA03004902","AT3G52380","CP33","chloroplast RNA-binding protein 33","-","YES"
"BraA04002248",-3.97294619876517,6.68448963479138,105.062586752582,5.17445938944445e-09,1.60556168449189e-07,"BraA04002248","BraA04002248","AT2G30860","GSTF9","glutathione S-transferase PHI 9","-","-"
"BraA09003505",-4.83733837119576,5.75984485369293,104.986581518052,5.20396527995354e-09,1.60567838520292e-07,"BraA09003505","BraA09003505","AT1G32220","AT1G32220","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA07003042",-3.88293036269807,5.16452864000545,104.69118236082,5.32042736296842e-09,1.6305706243549e-07,"BraA07003042","BraA07003042","AT1G66130","AT1G66130","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA01001570",-4.71047643927521,5.29281318940044,104.599461454033,5.35717471270642e-09,1.6305706243549e-07,"BraA01001570","BraA01001570","AT4G24130","AT4G24130","DUF538 family protein (Protein of unknown function, DUF538)","-","-"
"BraA05001456",-6.38666610884056,4.27240090668472,104.541814497532,5.38041463253631e-09,1.63133342307498e-07,"BraA05001456","BraA05001456","AT2G31380","STH","salt tolerance homologue","YES","-"
"BraA03004576",-3.44541259196747,5.7641705605367,104.514684964376,5.39139037968387e-09,1.63151767335972e-07,"BraA03004576","BraA03004576","AT2G16430","PAP10","purple acid phosphatase 10","-","-"
"BraA01004718",-4.4310803004368,5.09421303054776,104.323066072693,5.46962436057849e-09,1.64885074593991e-07,"BraA01004718","BraA01004718","AT3G02660","EMB2768","Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial","-","-"
"BraA07000236",-6.32481266068619,5.52202525979047,103.61665858105,5.76910774329801e-09,1.71288074431203e-07,"BraA07000236","BraA07000236","AT2G18328","RL4","RAD-like 4","YES","-"
"BraA06003621",-4.11778751308676,3.17817756122181,103.446018354602,5.84415019895833e-09,1.73189355048603e-07,"BraA06003621","BraA06003621","AT5G24420","PGL5","6-phosphogluconolactonase 5","-","-"
"BraA05004714",-3.67899127700283,8.00815205578713,102.63545712068,6.21571956835838e-09,1.80761351033555e-07,"BraA05004714","BraA05004714","AT3G01480","CYP38","cyclophilin 38","-","-"
